thread,student,slot,section,position,item,stimulus,score,true_theta,test_theta,test_se,section_theta,section_se,bayesian_mean,bayesian_sd,bayesian_draws
1,1,0,,,,,,1.0,0.0,0.0,0.0,0.0,,
1,1,1,A,1,I0301,S026,1,1.0,0.434531,0.909636,0.434531,0.909636,,
1,1,2,A,2,I0306,S026,0,1.0,0.597,1.453948,0.597,1.453948,,
1,1,3,A,3,I0307,S026,0,1.0,-0.390475,1.256742,-0.390475,1.256742,,
1,1,4,A,4,I0302,S026,1,1.0,0.169621,1.034546,0.169621,1.034546,,
1,1,5,A,5,I0311,S026,1,1.0,0.616057,0.93921,0.616057,0.93921,,
1,1,6,A,6,I0243,S021,1,1.0,0.994989,0.888068,0.994989,0.888068,,
1,1,7,A,7,I0241,S021,1,1.0,1.323898,0.856719,1.323898,0.856719,,
1,1,8,A,8,I0245,S021,0,1.0,0.971022,0.750239,0.971022,0.750239,,
1,1,9,A,9,I0246,S021,1,1.0,1.156451,0.723247,1.156451,0.723247,,
1,1,10,A,10,I0250,S021,1,1.0,1.335656,0.703342,1.335656,0.703342,,
1,1,11,B,1,I0337,S029,1,1.0,1.604385,0.697431,0.695096,0.920022,,
1,1,12,B,2,I0339,S029,0,1.0,1.499115,0.657368,2.2115,1.467535,,
1,1,13,B,3,I0340,S029,1,1.0,1.701428,0.643889,2.717145,1.2708,,
1,1,14,B,4,I0343,S029,1,1.0,1.894201,0.6327,3.063344,1.187639,,
1,1,15,B,5,I0344,S029,0,1.0,1.644546,0.583798,2.15635,0.948623,,
1,1,16,B,6,I0345,S029,0,1.0,1.509422,0.552041,1.75097,0.842144,,
1,1,17,B,7,I0347,S029,0,1.0,1.339985,0.524846,1.345406,0.787368,,
1,1,18,B,8,I0346,S029,1,1.0,1.399069,0.515482,1.469773,0.74694,,
1,1,19,B,9,I0159,S014,0,1.0,1.306002,0.496675,1.27598,0.706307,,
1,1,20,B,10,I0160,S014,1,1.0,1.394838,0.486204,1.447312,0.665886,,
1,1,21,B,11,I0161,S014,1,1.0,1.448217,0.478685,1.540083,0.643123,,
1,1,22,B,12,I0163,S014,1,1.0,1.571536,0.471674,1.743864,0.618252,,
1,1,23,B,13,I0157,S014,1,1.0,1.598619,0.4676,1.783339,0.609214,,
1,1,24,B,14,I0158,S014,0,1.0,1.555072,0.457306,1.700549,0.586934,,
1,1,25,B,15,I0162,S014,1,1.0,1.588119,0.452618,1.747999,0.576682,,
